Soil_Type,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Clay,Wheat,Sowing,Rabi,Rainfed,Potato,Central,5.2,15.52,0.24,1.1,89,24,53,17.28,49.66,2969.59,232.5,1.13,DAP
Silt,Maize,Vegetative,Zaid,Drip,Maize,Central,6.89,33.58,0.64,0.5,88,12,32,21.82,34.35,813.85,151.62,7.32,DAP
Clay,Tomato,Vegetative,Kharif,Rainfed,Wheat,West,6.2,22.19,0.94,1.45,27,88,37,27.64,87.06,2083.31,180.64,3.05,Urea
Clay,Rice,Flowering,Zaid,Rainfed,Cotton,East,6.29,27.45,0.26,1.24,142,78,100,31.7,62.82,2447.22,258.28,2.83,Zinc Sulphate
Loamy,Potato,Sowing,Zaid,Drip,Maize,North,5.52,18.13,0.99,2.92,155,17,41,16.68,39.37,1840.11,86.12,7.29,DAP
Clay,Potato,Sowing,Zaid,Rainfed,Potato,East,7.8,21.5,0.88,2.97,131,18,111,34.56,63.35,1012.83,196.82,2.16,DAP
Loamy,Tomato,Harvest,Zaid,Rainfed,Rice,South,6.44,13.83,1.22,1.29,91,11,85,11.01,57.09,1771.64,58.5,4.06,DAP
Loamy,Rice,Flowering,Rabi,Canal,Maize,West,6.67,56.0,0.24,0.53,27,46,29,23.32,50.69,1613.18,149.65,7.65,Urea
Loamy,Rice,Vegetative,Kharif,Rainfed,Tomato,West,5.72,36.52,1.22,2.74,91,21,15,28.99,58.35,732.34,263.43,5.45,DAP
Loamy,Rice,Harvest,Rabi,Sprinkler,Potato,West,5.23,29.84,0.88,2.4,26,28,12,18.74,70.18,2336.97,231.26,7.74,Urea
Sandy,Maize,Harvest,Rabi,Canal,Wheat,North,4.84,36.75,0.68,1.58,65,36,12,30.51,41.97,948.13,246.33,2.69,DAP
Silt,Sugarcane,Flowering,Rabi,Rainfed,Maize,East,7.36,41.41,1.45,1.16,100,33,32,36.01,62.27,2529.91,155.0,3.0,DAP
Sandy,Wheat,Flowering,Zaid,Sprinkler,Sugarcane,South,5.28,56.09,0.41,1.4,24,75,82,12.68,78.78,800.1,169.27,5.73,Urea
Clay,Sugarcane,Harvest,Kharif,Drip,Wheat,West,7.26,18.93,0.9,2.72,102,25,42,25.38,43.35,1606.49,260.06,7.95,DAP
Sandy,Sugarcane,Sowing,Rabi,Sprinkler,Maize,North,6.06,24.78,0.62,0.64,63,11,45,10.56,60.93,2146.61,176.55,5.75,DAP
Sandy,Wheat,Flowering,Rabi,Rainfed,Maize,South,6.16,58.79,0.89,2.44,159,30,73,18.39,87.94,2988.33,198.3,6.07,DAP
Clay,Cotton,Vegetative,Zaid,Drip,Maize,Central,6.38,28.56,0.92,0.15,83,19,21,14.11,78.03,958.77,260.63,2.27,DAP
Clay,Wheat,Flowering,Kharif,Canal,Sugarcane,Central,5.97,11.13,0.32,2.77,42,67,71,28.73,65.58,1979.71,253.88,6.72,Urea
Clay,Cotton,Vegetative,Zaid,Canal,Sugarcane,West,4.9,17.38,1.06,1.55,69,26,35,17.46,74.95,629.4,110.93,6.02,DAP
Sandy,Wheat,Vegetative,Zaid,Canal,Maize,North,5.74,11.32,1.02,0.76,144,85,46,18.47,61.54,2494.99,196.89,4.26,NPK
Sandy,Potato,Harvest,Rabi,Rainfed,Tomato,South,7.15,59.5,1.2,0.11,55,16,57,16.17,89.19,2612.05,101.43,4.99,Urea
Clay,Sugarcane,Sowing,Rabi,Drip,Potato,East,7.16,23.94,0.32,1.72,158,82,83,17.31,40.15,2686.28,60.09,5.37,DAP
Silt,Sugarcane,Harvest,Zaid,Sprinkler,Cotton,East,5.64,56.18,0.59,0.81,105,55,53,16.75,73.17,2847.5,75.96,1.57,Zinc Sulphate
Silt,Potato,Flowering,Kharif,Canal,Rice,South,6.34,59.79,1.05,1.93,75,59,20,30.94,30.36,1195.91,167.21,7.78,MOP
Loamy,Wheat,Vegetative,Kharif,Drip,Cotton,Central,5.27,39.99,0.38,0.92,88,19,92,38.67,37.54,2066.05,272.18,5.27,DAP
Clay,Rice,Sowing,Zaid,Canal,Potato,West,5.34,11.66,1.08,0.36,56,25,78,24.71,73.31,1084.08,169.35,4.9,Urea
Loamy,Cotton,Flowering,Zaid,Rainfed,Rice,East,4.59,14.08,0.28,1.56,157,10,33,28.01,75.56,2450.65,81.55,4.79,DAP
Silt,Rice,Sowing,Rabi,Sprinkler,Maize,North,8.09,34.08,0.64,1.74,61,18,108,34.54,32.36,1363.66,85.63,7.85,DAP
Loamy,Tomato,Vegetative,Kharif,Rainfed,Wheat,North,5.34,30.31,1.3,1.41,113,22,101,24.28,50.03,1753.75,205.16,7.36,DAP
Clay,Cotton,Harvest,Kharif,Sprinkler,Tomato,North,5.41,40.31,1.21,1.43,41,70,103,19.06,37.09,572.37,264.68,2.74,Urea
Clay,Potato,Harvest,Kharif,Rainfed,Potato,North,5.62,31.94,1.04,1.81,75,57,28,38.53,83.41,2581.38,130.04,1.24,MOP
Clay,Sugarcane,Sowing,Kharif,Rainfed,Sugarcane,South,5.01,56.7,1.33,1.63,133,25,79,37.18,57.23,1552.24,187.49,6.35,DAP
Sandy,Cotton,Flowering,Kharif,Rainfed,Tomato,South,7.06,36.74,1.12,0.48,141,50,65,16.61,56.55,1993.33,273.09,2.58,Compost
Loamy,Sugarcane,Sowing,Zaid,Canal,Cotton,South,4.8,44.69,0.88,0.67,97,39,58,31.09,79.43,2073.99,83.12,2.0,DAP
Silt,Wheat,Sowing,Kharif,Rainfed,Sugarcane,South,5.04,54.82,1.47,0.51,158,86,118,29.41,71.72,967.9,89.13,7.99,Compost
Silt,Potato,Harvest,Zaid,Sprinkler,Potato,East,7.08,17.34,1.1,2.11,154,81,112,29.49,85.34,2425.95,144.3,3.82,Zinc Sulphate
Silt,Wheat,Flowering,Zaid,Sprinkler,Sugarcane,West,5.86,21.49,0.98,1.63,115,64,92,34.92,86.32,2532.48,163.36,6.2,DAP
Sandy,Maize,Sowing,Zaid,Sprinkler,Sugarcane,East,7.33,15.37,0.73,1.35,101,20,66,30.22,48.79,1644.11,107.37,3.23,DAP
Sandy,Tomato,Flowering,Kharif,Rainfed,Rice,West,6.73,16.98,1.37,2.42,53,61,104,25.54,68.9,2726.75,187.4,1.18,Urea
Clay,Maize,Flowering,Zaid,Canal,Wheat,North,5.52,35.63,0.58,1.04,82,84,117,35.38,62.51,650.52,274.52,2.61,MOP
Silt,Tomato,Vegetative,Kharif,Rainfed,Maize,East,7.1,26.06,0.21,1.75,21,57,20,17.95,65.75,1360.41,271.14,1.51,Urea
Sandy,Wheat,Vegetative,Rabi,Drip,Cotton,East,4.97,31.16,0.46,0.32,154,16,72,30.38,67.52,324.1,65.47,1.87,DAP
Clay,Maize,Vegetative,Kharif,Rainfed,Wheat,Central,6.65,59.12,0.34,2.26,62,63,90,31.05,33.6,1315.98,200.88,6.58,NPK
Silt,Potato,Sowing,Zaid,Canal,Potato,West,6.25,17.84,0.61,2.12,114,10,26,36.11,83.7,2991.71,103.76,7.48,DAP
Loamy,Wheat,Harvest,Zaid,Canal,Tomato,North,5.57,37.04,1.27,2.43,37,41,24,39.95,38.42,1496.91,216.02,7.75,Urea
Clay,Rice,Vegetative,Rabi,Sprinkler,Sugarcane,South,6.92,14.94,1.05,2.66,26,71,79,26.73,55.47,1373.79,192.13,3.79,Urea
Sandy,Sugarcane,Sowing,Rabi,Sprinkler,Rice,North,7.99,25.92,0.42,2.3,71,24,71,24.53,47.52,2125.9,105.93,2.99,DAP
Sandy,Wheat,Flowering,Kharif,Canal,Sugarcane,West,8.5,36.38,1.23,2.55,56,70,41,28.02,63.22,336.1,285.25,6.56,Urea
Clay,Maize,Vegetative,Kharif,Drip,Rice,East,6.93,57.33,0.86,1.1,117,87,49,29.76,87.69,1190.55,168.34,4.27,NPK
Clay,Tomato,Flowering,Kharif,Rainfed,Sugarcane,North,6.12,29.56,0.87,1.1,65,86,20,31.39,54.75,1692.6,147.99,6.75,MOP
Sandy,Potato,Vegetative,Rabi,Sprinkler,Tomato,North,5.4,13.25,0.67,2.84,122,65,22,18.44,66.19,1555.38,247.89,6.91,MOP
Loamy,Tomato,Vegetative,Kharif,Sprinkler,Wheat,South,5.53,29.41,1.32,2.75,61,43,90,24.61,38.47,1998.94,124.41,7.74,NPK
Silt,Maize,Harvest,Rabi,Rainfed,Cotton,Central,6.42,17.29,0.61,1.69,79,29,37,21.13,57.78,589.02,197.96,3.35,DAP
Loamy,Tomato,Harvest,Rabi,Drip,Cotton,North,5.97,21.5,0.32,1.16,147,33,91,11.16,84.95,1327.32,101.14,2.94,DAP
Clay,Tomato,Harvest,Zaid,Sprinkler,Potato,East,8.16,40.9,0.59,2.61,123,37,37,28.29,85.94,1974.07,65.31,4.8,DAP
Loamy,Maize,Vegetative,Rabi,Drip,Rice,South,5.97,13.37,1.13,1.04,99,20,57,36.24,62.79,1044.62,174.58,4.41,DAP
Sandy,Rice,Sowing,Rabi,Sprinkler,Sugarcane,Central,5.99,33.24,1.05,0.55,97,39,64,37.64,76.12,1916.06,90.69,7.65,DAP
Clay,Potato,Sowing,Rabi,Drip,Maize,South,6.03,40.47,0.44,1.95,143,47,25,25.52,30.19,2883.27,140.17,3.32,MOP
Silt,Rice,Sowing,Kharif,Sprinkler,Maize,West,7.85,31.09,0.35,0.22,51,10,45,32.98,61.89,2805.08,169.05,6.08,Urea
Sandy,Tomato,Harvest,Rabi,Rainfed,Sugarcane,North,7.1,10.96,1.06,1.2,45,78,49,31.37,73.95,2231.44,51.48,3.52,Urea
Sandy,Tomato,Flowering,Rabi,Drip,Potato,West,6.96,59.28,1.08,2.44,49,42,29,16.87,49.79,697.36,137.08,1.11,Urea
Silt,Potato,Vegetative,Rabi,Drip,Tomato,South,5.84,28.36,0.68,0.96,122,74,112,11.89,84.07,2395.88,161.13,1.5,NPK
Silt,Rice,Flowering,Zaid,Rainfed,Cotton,West,7.77,48.93,1.3,2.8,156,53,100,32.44,76.78,1450.77,186.3,2.03,DAP
Loamy,Wheat,Harvest,Kharif,Sprinkler,Cotton,North,4.65,26.28,1.47,2.87,51,73,113,18.48,76.18,2864.85,260.07,3.85,Urea
Clay,Sugarcane,Flowering,Kharif,Rainfed,Cotton,Central,7.98,33.75,0.47,2.47,72,18,106,26.48,31.27,1911.98,131.62,5.8,DAP
Silt,Rice,Flowering,Rabi,Sprinkler,Sugarcane,South,6.55,29.42,0.95,2.96,154,41,11,25.72,41.03,809.34,280.55,3.63,MOP
Silt,Tomato,Flowering,Kharif,Sprinkler,Sugarcane,West,6.09,27.13,0.21,1.64,100,63,86,34.54,72.82,1074.8,134.09,6.69,NPK
Clay,Maize,Sowing,Kharif,Rainfed,Cotton,West,6.49,11.09,1.13,1.75,95,35,11,29.34,63.7,1093.36,191.11,7.59,DAP
Silt,Maize,Sowing,Zaid,Drip,Sugarcane,West,7.17,28.0,0.74,2.52,88,71,110,35.41,64.71,973.6,69.51,7.48,MOP
Silt,Rice,Sowing,Zaid,Rainfed,Cotton,Central,4.55,54.47,0.45,1.53,37,51,78,32.57,30.89,2361.1,150.53,1.18,Urea
Loamy,Potato,Harvest,Kharif,Rainfed,Sugarcane,South,7.99,44.52,1.18,1.28,56,57,79,39.99,56.52,1142.89,244.41,1.13,Urea
Sandy,Sugarcane,Sowing,Zaid,Drip,Sugarcane,South,6.29,17.27,1.25,1.88,154,15,59,35.92,77.19,747.74,124.25,6.34,DAP
Sandy,Sugarcane,Harvest,Kharif,Drip,Wheat,West,5.87,39.56,0.34,2.01,80,39,105,16.33,69.81,1869.07,52.8,5.37,DAP
Sandy,Potato,Vegetative,Rabi,Canal,Sugarcane,South,5.05,54.61,0.25,2.28,150,32,57,38.84,64.35,1501.38,282.13,3.15,DAP
Sandy,Sugarcane,Harvest,Kharif,Drip,Wheat,South,6.26,45.0,0.63,2.04,20,34,33,20.2,71.8,262.07,51.71,7.4,Urea
Silt,Potato,Sowing,Zaid,Rainfed,Sugarcane,Central,6.49,17.43,1.01,2.26,79,22,90,28.24,81.06,981.53,116.59,1.33,DAP
Clay,Maize,Sowing,Zaid,Drip,Potato,Central,6.11,53.39,1.23,2.06,153,34,18,38.24,80.97,306.94,275.55,2.78,DAP
Clay,Wheat,Vegetative,Zaid,Canal,Maize,North,7.21,25.08,0.91,1.49,143,26,49,16.42,57.36,2347.71,84.39,2.87,DAP
Loamy,Tomato,Sowing,Rabi,Rainfed,Sugarcane,Central,6.18,32.7,0.95,0.49,90,36,49,35.72,48.47,2862.87,264.86,1.73,DAP
Loamy,Cotton,Flowering,Kharif,Sprinkler,Tomato,Central,8.35,36.31,1.24,2.38,110,20,11,38.59,51.98,1600.48,289.0,4.95,DAP
Silt,Rice,Sowing,Rabi,Sprinkler,Tomato,South,6.9,52.53,0.89,0.19,50,15,82,35.61,61.28,1762.86,205.77,2.08,Urea
Clay,Rice,Flowering,Kharif,Canal,Maize,North,7.73,56.58,0.99,2.98,27,88,15,34.58,35.36,2566.24,133.11,5.62,Urea
Clay,Cotton,Sowing,Zaid,Drip,Potato,Central,4.94,56.48,0.87,2.5,138,46,28,17.94,65.46,253.1,127.12,5.79,MOP
Sandy,Cotton,Flowering,Zaid,Drip,Sugarcane,West,6.09,10.4,1.34,2.05,26,84,106,22.21,57.2,654.51,84.66,5.53,Urea
Silt,Maize,Sowing,Kharif,Drip,Tomato,West,5.85,56.09,0.51,2.9,154,81,28,32.81,75.54,2032.2,275.44,6.21,MOP
Silt,Maize,Vegetative,Kharif,Sprinkler,Wheat,South,6.78,12.72,0.54,1.88,154,46,42,13.54,46.44,2276.87,248.46,7.96,NPK
Sandy,Rice,Flowering,Kharif,Rainfed,Sugarcane,West,7.94,23.29,0.37,0.26,39,83,118,36.65,33.98,1953.35,105.8,6.64,Urea
Silt,Tomato,Harvest,Kharif,Sprinkler,Tomato,Central,4.81,35.75,1.27,1.72,90,68,70,16.31,83.67,2829.89,217.15,4.22,Compost
Silt,Potato,Sowing,Zaid,Sprinkler,Rice,South,4.79,34.0,0.74,0.9,137,19,39,26.94,34.08,1298.63,198.15,3.03,DAP
Loamy,Tomato,Harvest,Kharif,Drip,Rice,North,7.9,40.24,0.65,1.17,157,10,112,13.15,85.64,1754.23,85.3,2.53,DAP
Clay,Wheat,Flowering,Kharif,Rainfed,Rice,Central,5.35,33.97,1.48,1.43,144,61,71,15.56,59.85,2877.93,109.56,6.9,Compost
Silt,Potato,Flowering,Zaid,Rainfed,Maize,North,7.18,56.72,1.4,2.35,84,27,22,27.57,33.38,2718.99,83.81,6.48,DAP
Loamy,Rice,Sowing,Zaid,Rainfed,Maize,East,6.67,22.03,1.46,1.56,117,14,27,29.04,37.55,286.25,184.76,1.78,DAP
Clay,Rice,Sowing,Zaid,Sprinkler,Potato,East,7.83,23.7,0.38,1.48,22,57,11,18.09,61.98,1185.99,98.42,7.6,Urea
Sandy,Rice,Vegetative,Zaid,Rainfed,Tomato,South,5.0,56.04,1.36,0.98,150,42,12,13.57,30.95,2269.19,295.89,4.72,MOP
Loamy,Maize,Sowing,Kharif,Sprinkler,Potato,South,5.02,13.84,0.63,1.67,94,66,15,26.49,84.91,202.46,118.99,1.82,MOP
Loamy,Rice,Sowing,Rabi,Drip,Cotton,North,6.73,40.48,0.22,0.82,87,34,37,35.22,77.78,2616.36,230.71,7.77,DAP
Clay,Tomato,Sowing,Zaid,Canal,Wheat,Central,8.29,44.09,0.71,0.86,35,53,86,16.04,60.27,1605.91,131.64,3.92,Urea
Sandy,Wheat,Flowering,Kharif,Sprinkler,Sugarcane,North,6.16,35.28,0.86,2.3,36,75,93,30.75,85.57,442.48,139.38,4.32,Urea
Loamy,Tomato,Sowing,Rabi,Sprinkler,Potato,West,5.81,44.71,0.34,1.09,158,77,41,21.58,45.58,1438.9,127.79,5.84,DAP
Silt,Wheat,Harvest,Kharif,Drip,Rice,Central,6.93,18.64,0.9,0.25,119,34,69,38.29,81.2,1579.34,77.09,3.42,DAP
Silt,Wheat,Vegetative,Rabi,Canal,Maize,North,8.22,52.63,1.27,1.1,51,54,40,12.48,78.31,1227.4,281.89,1.29,Urea
Silt,Rice,Vegetative,Zaid,Canal,Sugarcane,South,7.85,17.0,0.69,1.95,140,32,70,11.2,64.91,1472.07,244.72,5.66,DAP
Sandy,Cotton,Sowing,Kharif,Sprinkler,Potato,West,8.48,30.04,0.66,2.46,137,50,18,13.73,49.13,2695.91,109.25,3.51,MOP
Loamy,Rice,Flowering,Zaid,Drip,Potato,Central,4.59,13.76,0.64,2.89,131,42,76,33.47,63.5,1107.38,126.87,5.42,Compost
Silt,Tomato,Harvest,Kharif,Canal,Tomato,Central,4.95,37.26,1.4,2.26,117,37,63,37.68,87.43,2890.57,160.28,6.38,DAP
Sandy,Cotton,Vegetative,Rabi,Rainfed,Sugarcane,Central,6.94,43.49,0.26,1.34,24,17,104,34.67,35.07,2123.66,243.66,1.23,Urea
Silt,Rice,Sowing,Zaid,Drip,Wheat,East,7.78,57.06,0.78,0.97,108,38,88,31.53,42.06,2708.84,269.1,5.53,DAP
Clay,Wheat,Flowering,Zaid,Drip,Potato,North,5.64,46.97,0.54,0.48,111,65,77,11.73,68.63,785.14,241.97,6.79,SSP
Loamy,Tomato,Vegetative,Rabi,Rainfed,Maize,North,5.46,37.06,1.36,1.92,22,24,26,16.41,70.71,1577.17,287.52,1.09,Urea
Loamy,Cotton,Flowering,Rabi,Rainfed,Tomato,West,7.65,56.63,0.32,1.58,47,24,118,38.06,39.87,1783.18,240.29,3.26,Urea
Sandy,Tomato,Vegetative,Kharif,Rainfed,Rice,Central,4.73,33.92,0.73,2.07,53,46,68,28.68,78.38,438.8,105.99,5.83,Urea
Sandy,Wheat,Sowing,Rabi,Sprinkler,Cotton,East,5.98,38.06,0.73,0.79,105,28,40,24.05,85.71,1582.19,144.64,6.89,DAP
Loamy,Rice,Harvest,Rabi,Sprinkler,Tomato,North,6.52,39.8,1.35,1.04,136,68,102,29.57,34.78,2610.67,235.61,5.86,Urea
Silt,Tomato,Sowing,Kharif,Sprinkler,Potato,West,6.74,30.5,0.48,0.95,49,60,84,15.36,88.45,346.14,81.64,6.81,Urea
Silt,Maize,Sowing,Zaid,Drip,Tomato,Central,7.41,51.92,1.04,2.41,67,44,70,36.79,46.87,1998.46,107.44,6.96,DAP
Clay,Cotton,Harvest,Kharif,Sprinkler,Rice,Central,5.92,19.26,0.37,0.6,84,45,105,29.69,48.53,2968.52,295.51,6.55,Compost
Silt,Tomato,Flowering,Zaid,Sprinkler,Tomato,South,6.95,37.74,1.44,1.86,60,62,49,24.14,32.69,1676.8,216.22,3.24,Urea
Sandy,Rice,Vegetative,Rabi,Sprinkler,Potato,Central,6.84,46.11,0.97,0.25,112,89,12,23.72,59.84,1049.43,94.55,2.69,MOP
Sandy,Tomato,Vegetative,Kharif,Drip,Sugarcane,West,6.69,55.2,1.01,1.69,116,21,59,34.67,87.29,1837.85,73.06,4.36,DAP
Silt,Wheat,Harvest,Kharif,Sprinkler,Maize,West,7.06,54.2,0.76,0.29,100,37,10,19.24,39.66,1716.02,290.58,5.02,DAP
Sandy,Sugarcane,Harvest,Kharif,Canal,Rice,West,5.54,35.44,0.64,0.61,121,80,17,14.11,64.61,494.45,174.69,1.21,MOP
Loamy,Potato,Sowing,Rabi,Canal,Cotton,West,4.84,42.16,0.48,0.43,60,42,71,15.57,46.47,800.02,155.23,7.35,Compost
Loamy,Maize,Harvest,Rabi,Sprinkler,Wheat,North,4.98,29.71,0.99,1.11,142,84,73,12.43,31.12,2074.33,249.11,3.61,Compost
Silt,Sugarcane,Harvest,Rabi,Canal,Maize,West,5.4,33.41,1.44,1.1,52,88,50,25.24,89.23,1859.17,217.3,2.13,Urea
Loamy,Tomato,Vegetative,Rabi,Drip,Rice,Central,6.5,55.31,0.67,2.5,101,64,26,30.32,72.97,1164.1,189.52,2.47,MOP
Loamy,Potato,Sowing,Kharif,Canal,Sugarcane,East,7.86,56.54,1.35,0.75,103,88,81,38.02,74.13,2939.88,107.22,3.17,Zinc Sulphate
Clay,Tomato,Sowing,Zaid,Sprinkler,Sugarcane,East,7.31,54.77,0.39,0.35,109,82,52,32.52,69.78,2005.35,188.82,3.53,NPK
Clay,Sugarcane,Sowing,Zaid,Rainfed,Maize,Central,7.66,16.92,1.42,1.85,90,86,106,27.49,38.62,846.26,185.08,7.4,SSP
Loamy,Maize,Harvest,Zaid,Drip,Wheat,South,5.9,52.5,0.66,2.09,124,59,99,35.92,42.4,1519.31,75.37,3.48,DAP
Silt,Wheat,Flowering,Kharif,Canal,Tomato,West,6.12,57.42,0.69,0.95,76,38,11,36.77,53.14,2192.46,175.32,2.63,DAP
Clay,Sugarcane,Flowering,Zaid,Sprinkler,Maize,South,6.07,28.06,0.8,1.85,39,67,56,31.37,89.73,2081.56,200.62,3.71,Urea
Sandy,Sugarcane,Flowering,Rabi,Drip,Tomato,North,5.27,35.93,1.13,2.35,94,35,69,11.69,70.35,889.72,232.74,2.24,DAP
Sandy,Rice,Vegetative,Kharif,Sprinkler,Cotton,West,4.74,48.95,1.14,1.11,57,32,58,18.75,56.54,2013.97,188.85,4.4,Urea
Sandy,Maize,Sowing,Zaid,Sprinkler,Rice,North,6.86,38.1,0.82,1.62,46,26,102,20.09,59.08,1132.05,190.03,7.5,Urea
Silt,Potato,Flowering,Kharif,Canal,Potato,South,8.46,59.67,0.88,0.53,156,14,24,39.92,85.33,1481.01,191.71,6.24,DAP
Loamy,Tomato,Flowering,Zaid,Drip,Potato,East,5.17,32.79,0.24,0.17,132,68,103,23.92,41.79,2073.62,117.67,7.23,Compost
Sandy,Cotton,Vegetative,Kharif,Rainfed,Wheat,South,4.69,45.7,0.6,2.95,33,25,59,32.86,49.25,1826.78,268.93,7.85,Urea
Silt,Sugarcane,Flowering,Rabi,Rainfed,Wheat,West,7.62,49.63,0.65,0.97,56,30,117,34.41,52.25,2195.65,204.44,3.69,Urea
Clay,Rice,Flowering,Zaid,Drip,Maize,East,5.51,34.71,0.93,0.91,111,14,55,29.6,83.86,1269.15,220.7,2.27,DAP
Loamy,Maize,Flowering,Kharif,Drip,Sugarcane,East,7.82,52.85,0.93,2.92,73,67,85,10.55,76.61,2305.6,175.66,5.57,Zinc Sulphate
Clay,Potato,Flowering,Rabi,Rainfed,Tomato,West,7.32,37.31,1.12,2.21,144,35,11,10.58,65.45,243.87,86.64,5.68,DAP
Silt,Potato,Sowing,Rabi,Sprinkler,Wheat,East,8.28,30.58,1.13,1.8,142,52,94,34.56,48.88,726.31,90.0,5.51,Zinc Sulphate
Sandy,Cotton,Sowing,Rabi,Drip,Rice,Central,6.14,15.39,0.51,2.13,50,68,38,32.18,42.13,2925.03,165.03,6.37,Urea
Sandy,Cotton,Harvest,Kharif,Rainfed,Cotton,East,7.15,29.67,1.2,2.16,117,67,38,26.08,49.85,442.84,267.78,2.42,MOP
Silt,Sugarcane,Sowing,Kharif,Canal,Rice,West,6.36,46.7,0.23,2.31,142,11,89,17.47,85.77,2053.33,80.29,1.09,DAP
Sandy,Wheat,Flowering,Rabi,Canal,Wheat,East,7.02,56.06,1.13,0.29,132,53,104,12.6,84.61,2766.92,175.7,4.5,SSP
Loamy,Maize,Sowing,Kharif,Rainfed,Cotton,North,6.3,22.58,0.33,1.3,104,85,70,14.93,55.32,2606.73,59.93,2.03,Compost
Silt,Rice,Vegetative,Rabi,Rainfed,Sugarcane,North,5.25,27.76,1.15,0.96,109,35,106,27.41,49.53,2755.72,267.95,1.2,DAP
Clay,Maize,Sowing,Zaid,Rainfed,Maize,South,6.53,17.7,0.89,0.3,111,53,75,26.37,83.08,2954.94,115.37,4.22,SSP
Silt,Rice,Harvest,Rabi,Sprinkler,Maize,East,6.61,44.54,0.77,1.3,147,28,53,38.24,56.77,1200.37,137.83,5.75,DAP
Loamy,Sugarcane,Harvest,Kharif,Sprinkler,Cotton,South,7.74,58.01,1.1,1.89,41,58,13,38.72,32.32,1124.44,91.04,4.76,Urea
Loamy,Maize,Flowering,Kharif,Sprinkler,Maize,East,7.44,42.05,0.25,0.62,22,66,48,27.28,50.74,538.41,128.43,1.22,Urea
Silt,Sugarcane,Sowing,Zaid,Rainfed,Rice,South,7.16,40.85,0.49,0.98,111,15,69,35.24,66.44,764.17,148.23,2.36,DAP
Silt,Wheat,Sowing,Kharif,Rainfed,Potato,East,4.95,37.67,1.0,1.95,82,32,58,34.37,86.68,2028.06,89.96,4.01,DAP
Sandy,Rice,Vegetative,Kharif,Drip,Cotton,West,7.38,14.42,1.3,1.78,85,52,14,32.57,55.48,1127.21,120.45,6.71,MOP
Loamy,Wheat,Harvest,Rabi,Sprinkler,Cotton,Central,6.5,46.48,0.7,2.62,65,53,75,23.12,44.41,1155.21,221.14,3.07,SSP
Silt,Rice,Vegetative,Rabi,Sprinkler,Wheat,South,8.08,40.1,0.54,2.39,155,75,54,21.68,53.07,2008.59,266.81,6.99,Zinc Sulphate
Silt,Potato,Harvest,Kharif,Rainfed,Rice,Central,8.18,43.07,0.87,2.9,58,54,69,17.92,33.42,492.94,212.0,6.86,Urea
Loamy,Wheat,Flowering,Rabi,Sprinkler,Tomato,East,4.72,54.94,1.01,1.83,113,28,17,38.11,83.93,356.65,290.69,5.37,DAP
Silt,Maize,Sowing,Rabi,Drip,Wheat,South,7.78,49.2,0.75,2.13,66,13,59,35.03,32.01,2447.95,111.46,6.92,DAP
Sandy,Potato,Vegetative,Zaid,Canal,Potato,South,4.65,49.05,1.34,2.6,87,66,45,15.31,30.06,2411.57,140.38,5.59,Compost
Loamy,Rice,Harvest,Kharif,Canal,Potato,Central,5.97,56.36,0.88,2.54,76,18,79,17.57,66.85,1278.25,132.26,2.32,DAP
Sandy,Tomato,Harvest,Kharif,Canal,Potato,West,6.67,59.5,0.25,2.18,106,57,50,27.44,39.24,1860.59,182.55,1.08,Compost
Sandy,Sugarcane,Sowing,Zaid,Drip,Cotton,Central,5.09,39.06,0.49,1.55,81,45,19,22.41,47.76,866.62,228.25,5.17,MOP
Sandy,Rice,Harvest,Rabi,Rainfed,Rice,East,7.49,15.44,0.79,0.89,58,76,45,16.42,59.46,1229.39,102.96,2.44,Urea
Sandy,Tomato,Harvest,Kharif,Rainfed,Cotton,West,4.53,32.96,1.11,2.64,133,27,77,33.73,77.53,301.93,256.08,5.27,DAP
Loamy,Cotton,Vegetative,Zaid,Canal,Potato,Central,5.17,49.38,0.49,2.35,141,49,112,10.05,53.25,966.1,134.7,2.52,Compost
Sandy,Tomato,Sowing,Zaid,Canal,Sugarcane,North,6.82,11.39,1.47,2.53,154,75,23,20.3,87.43,245.86,165.72,1.89,MOP
Sandy,Rice,Vegetative,Kharif,Canal,Maize,North,7.36,12.84,0.61,0.51,114,74,85,37.88,57.19,1387.41,259.01,3.95,NPK
Silt,Rice,Vegetative,Rabi,Canal,Wheat,North,8.17,13.36,0.89,1.01,25,33,26,32.82,85.2,1655.23,131.96,6.24,Urea
Loamy,Potato,Sowing,Rabi,Sprinkler,Tomato,East,7.32,46.55,0.22,1.33,142,62,30,22.04,57.14,1586.93,217.56,2.65,MOP
Loamy,Cotton,Harvest,Kharif,Sprinkler,Tomato,East,7.19,35.06,1.35,2.53,102,51,86,37.86,60.97,1153.99,165.9,6.87,Zinc Sulphate
Clay,Wheat,Flowering,Rabi,Sprinkler,Sugarcane,Central,6.08,28.44,1.23,2.69,38,62,106,37.02,87.48,779.45,118.36,7.25,Urea
